label,node_rows,image_count,reviewer_count,q1_no_pct,q1_uncertain_pct,critical_nodes_all,critical_rate_all_pct,critical_share_of_dataset_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_depth,avg_bbox_pct,top_critical_questions
spoke,10,10,7,0.0,0.0,4,40.0,0.08,70.0,40.0,70.0,3.2,4.892,Q2:4|Q3:1
statue,11,10,7,27.27,9.09,4,36.36,0.08,54.55,14.29,28.57,1.5455,5.1109,Q1:3|Q2:2|Q3:1
spine,11,8,7,0.0,0.0,4,36.36,0.08,90.91,36.36,90.91,2.4545,13.2327,Q2:4
baseboard,12,12,8,33.33,0.0,4,33.33,0.08,75.0,0.0,62.5,1.6667,9.2267,Q1:4|Q2:1|Q3:1
lamppost,12,10,7,8.33,0.0,4,33.33,0.08,66.67,27.27,63.64,1.3333,12.0642,Q3:2|Q8:1|Q1:1
archway,12,10,10,0.0,0.0,4,33.33,0.08,75.0,33.33,75.0,2.1667,12.8483,Q5:3|Q4:1|Q3:1|Q8:1
sheep,12,11,8,0.0,0.0,4,33.33,0.08,58.33,33.33,58.33,1.3333,30.28,Q2:2|Q8:1|Q3:1|Q7:1
tent,13,13,11,30.77,0.0,4,30.77,0.08,53.85,0.0,33.33,1.3077,8.6623,Q1:4
barrier,13,13,9,23.08,7.69,4,30.77,0.08,69.23,11.11,55.56,1.6154,25.6123,Q1:3|Q2:2|Q3:2|Q4:1|Q5:1
cover,15,15,10,13.33,6.67,4,26.67,0.08,60.0,16.67,50.0,2.5333,12.778,Q3:2|Q1:2|Q4:1
dial,15,14,11,13.33,0.0,4,26.67,0.08,60.0,15.38,53.85,2.6667,2.9733,Q1:2|Q5:1|Q3:1
bracelet,15,14,11,13.33,0.0,4,26.67,0.08,26.67,15.38,15.38,1.8,1.5227,Q4:2|Q5:2|Q1:2
meat,15,14,11,13.33,13.33,4,26.67,0.08,93.33,18.18,90.91,1.9333,17.4547,Q1:2|Q4:1|Q2:1
sandwich,15,15,12,6.67,0.0,4,26.67,0.08,53.33,21.43,50.0,1.2,39.178,Q2:2|Q1:1|Q3:1|Q4:1|Q5:1
